Species,LeafLength,LeafWidth,WidestPoint,Angle,LeafRatio,WidestPercent,Lobing,Veins,FruitLength,FruitWidth,FruitRatio
Anglica,103,82,41,42,1.26,0.40,0.13,23,,,
Anglica,105,76,46,35,1.38,0.44,0.18,24,,,
Anglica,86,62,27,40,1.39,0.31,0.18,19,,,
Anglica,84,65,30,35,1.29,0.36,0.19,18,,,
Anglica,119,84,64,34,1.42,0.54,0.20,24,,,
Anglica,110,80,59,33,1.38,0.54,0.13,21,,,
Anglica,91,70,49,33,1.30,0.54,0.17,18,,,
Anglica,95,64,50,28,1.48,0.53,0.28,22,,,
Anglica,92,70,46,36,1.31,0.50,0.18,20,,,
Anglica,87,65,50,37,1.34,0.57,0.24,20,,,
Anglica,87,69,55,33,1.26,0.63,0.21,20,,,
Anglica,96,63,52,33,1.52,0.54,0.22,22,,,
Anglica,103,80,58,35,1.29,0.56,0.18,22,,,
Anglica,90,59,46,31,1.53,0.51,0.23,17,,,
Anglica,99,68,54,30,1.46,0.55,0.25,25,,,
Anglica,91,65,42,37,1.40,0.46,0.21,21,,,
Anglica,95,53,62,33,1.79,0.65,0.26,22,,,
Anglica,89,52,41,28,1.71,0.46,0.19,21,,,
Anglica,120,71,67,33,1.69,0.56,0.25,21,,,
Anglica,102,64,54,32,1.59,0.53,0.19,20,,,
Anglica,88,66,44,36,1.33,0.50,0.19,18,,,
Anglica,86,58,50,31,1.48,0.58,0.18,18,,,
Anglica,,,,,,,,,12,12,1.00
Anglica,,,,,,,,,12.5,14,0.89
Anglica,,,,,,,,,11,13,0.85
Anglica,,,,,,,,,12.5,14,0.89
Anglica,,,,,,,,,12,13,0.92
Anglica,,,,,,,,,12,13,0.92
Anglica,,,,,,,,,12,13,0.92
Anglica,,,,,,,,,12,13,0.92
Anglica,,,,,,,,,13,13,1.00
Anglica,,,,,,,,,13,13,1.00
Anglica,,,,,,,,,10.5,11,0.95
Anglica,,,,,,,,,10.5,12,0.88
Anglica,,,,,,,,,10,11.5,0.87
Anglica,,,,,,,,,10,11.5,0.87
Anglica,,,,,,,,,10,11,0.91
Anglica,,,,,,,,,10,11,0.91
Anglica,,,,,,,,,10,11,0.91
Anglica,,,,,,,,,12,12,1.00
Anglica,,,,,,,,,11,12,0.92
Anglica,,,,,,,,,11,11,1.00
Anglica,,,,,,,,,11,13,0.85
Anglica,,,,,,,,,11,14,0.79
Anglica,,,,,,,,,10,14,0.71
Anglica,,,,,,,,,12,15,0.80
Anglica,,,,,,,,,11,13.5,0.81
Anglica,,,,,,,,,12,13,0.92
Anglica,,,,,,,,,11.5,13,0.88
Anglica,,,,,,,,,12,14,0.86
Anglica,,,,,,,,,11,13,0.85
Anglica,,,,,,,,,10,10,1.00
Anglica,,,,,,,,,9,10,0.90
